"TABLE 9-17. Median annual salary of scientists and engineers employed full time by sex, broad occupation, age, ethnicity, and race: 2015",,,,,,,,
(Dollars),,,,,,,,
"Sex, occupation, and age (years)",All ethnicities and races,Hispanic or Latinoa,Not Hispanic or Latino,,,,,
,,,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,More than one race
Both sexes                                   ,,,,,,,,
All occupations                            ,"75,000","62,000","57,000","85,000","60,000","75,000","76,000","64,000"
29 and younger                           ,"50,000","42,000","49,000","60,000","41,000",S,"51,000","50,000"
30–39                                    ,"70,000","62,000","57,000","85,000","52,000","74,000","70,000","59,000"
40–49                                    ,"86,000","78,000","69,000","100,000","73,000","95,000","86,000","85,000"
50–75                                 ,"90,000","75,000","63,000","90,000","70,000","74,000","90,000","90,000"
S&E occupations                          ,"88,000","79,000","85,000","90,000","81,000","89,000","89,000","83,000"
29 and younger                         ,"62,000","60,000",S,"69,000","49,000","67,000","60,000","64,000"
30–39                                  ,"80,000","82,000","96,000","90,000","72,000","84,000","77,000","83,000"
40–49                                  ,"100,000","86,000","82,000","101,000","86,000","107,000","100,000","94,000"
50–75                                 ,"100,000","100,000","92,000","103,000","91,000","79,000","100,000","115,000"
Science occupations                              ,"85,000","75,000","45,000","90,000","77,000","70,000","84,000","83,000"
29 and younger                       ,"56,000","53,000",S,"69,000","48,000",D,"51,000","63,000"
30–39                                ,"76,000","78,000","56,000","90,000","60,000","83,000","73,000","86,000"
40–49                                ,"98,000","76,000","69,000","100,000","84,000",D,"98,000","91,000"
50–75                                 ,"97,000","98,000","90,000","100,000","88,000","50,000","96,000","139,000"
Biological/life scientist            ,"62,000","50,000","39,000","56,000","65,000",D,"66,000","60,000"
29 and younger                     ,"32,000","28,000",D,"34,000","40,000",D,"32,000",S
30–39                              ,"52,000","50,000",D,"48,000","45,000",D,"53,000","61,000"
40–49                              ,"75,000","71,000",D,"79,000","81,000",D,"75,000","65,000"
50–75                                 ,"90,000","95,000",S,"69,000","95,000",D,"90,000","65,000"
Computer and information scientist   ,"93,000","85,000","105,000","98,000","82,000","71,000","92,000","109,000"
29 and younger                     ,"69,000","60,000",D,"78,000","50,000",D,"65,000","78,000"
30–39                              ,"86,000","87,000",D,"97,000","78,000",S,"80,000","108,000"
40–49                              ,"103,000","85,000",D,"104,000","93,000",D,"106,000","109,000"
50–75                                 ,"100,000","100,000",D,"105,000","89,000",D,"100,000","134,000"
Mathematical scientist               ,"70,000","64,000",D,"88,000","73,000",D,"65,000","108,000"
29 and younger                     ,"41,000","59,000",D,"78,000",*,D,S,S
30–39                              ,"79,000",S,D,"99,000",S,D,"70,000",S
40–49                              ,"85,000","83,000",D,"98,000","96,000",D,"81,000",D
50–75                                 ,"93,000","57,000",D,"119,000","83,000",D,"90,000",S
Physical scientist                   ,"78,000","65,000",*,"55,000","56,000",D,"83,000","88,000"
29 and younger                     ,"35,000","43,000",D,"27,000","29,000",D,"43,000","49,000"
30–39                              ,"64,000","51,000",D,"49,000","44,000",D,"69,000","81,000"
