"TABLE 9-7. Employed scientists and engineers, by ethnicity, race, occupation, highest degree level, and sex: 2015",,,,,,,,,,,
"Ethnicity, race, and occupation",All degreesa,,Bachelor's,,Master's,,Doctorate,,,,
,Female,Male,Female,Male,Female,Male,Female,Male,,,
All ethnicities and races,"11,897,000","13,409,000","6,468,000","7,531,000","4,012,000","3,706,000","514,000","847,000",,,
S&E occupations                         ,"1,818,000","4,590,000","818,000","2,700,000","708,000","1,367,000","261,000","490,000",,,
Science occupations                             ,"1,568,000","3,120,000","675,000","1,761,000","618,000","933,000","246,000","398,000",,,
Biological/life scientist           ,"302,000","329,000","127,000","114,000","80,000","88,000","88,000","119,000",,,
Computer and information scientist  ,"698,000","2,148,000","423,000","1,449,000","262,000","637,000","11,000","55,000",,,
Mathematical scientist              ,"135,000","175,000","33,000","73,000","79,000","71,000","19,000","31,000",,,
Physical scientist                  ,"92,000","239,000","39,000","87,000","33,000","53,000","20,000","99,000",,,
Psychologist                        ,"176,000","76,000","23,000","7,000","85,000","23,000","53,000","40,000",,,
Social scientist                    ,"166,000","153,000","30,000","31,000","80,000","61,000","54,000","54,000",,,
Engineering occupation                            ,"250,000","1,469,000","143,000","940,000","91,000","434,000","15,000","92,000",,,
S&E-related occupations                 ,"4,558,000","3,309,000","2,567,000","1,655,000","1,338,000","726,000","107,000","122,000",,,
Non-S&E occupations                     ,"5,521,000","5,510,000","3,083,000","3,175,000","1,965,000","1,614,000","146,000","235,000",,,
Hispanic or Latinob,"1,082,000","947,000","630,000","588,000","337,000","221,000","29,000","35,000",,,
S&E occupations                       ,"117,000","270,000","48,000","186,000","46,000","58,000","17,000","21,000",,,
Science occupations                           ,"101,000","167,000","38,000","113,000","40,000","34,000","16,000","16,000",,,
Biological/life scientist         ,"18,000","18,000","8,000","8,000","4,000","4,000","6,000","5,000",,,
Computer and information scientist,"33,000","115,000","23,000","95,000","9,000","18,000",S,"2,000",,,
Mathematical scientist            ,"6,000","5,000",S,"1,000","4,000","3,000","2,000","1,000",,,
Physical scientist                ,"6,000","10,000","3,000","4,000","3,000","1,000","1,000","5,000",,,
Psychologist                      ,"25,000","6,000","2,000",D,S,"2,000","4,000","1,000",,,
Social scientist                  ,"12,000","13,000","2,000","4,000","7,000",S,S,"2,000",,,
Engineering occupation                           ,"17,000","103,000","10,000","73,000","6,000","25,000","1,000","4,000",,,
S&E-related occupations               ,"372,000","257,000","213,000","141,000","105,000","47,000","5,000","5,000",,,
Non-S&E occupations                   ,"593,000","420,000","369,000","261,000","186,000","115,000","7,000","10,000",,,
Not Hispanic or Latino,,,,,,,,,,,
American Indian or Alaska Native,"34,000","42,000","20,000","24,000","13,000","12,000",S,S,,,
S&E occupations                       ,"1,000","9,000",S,"6,000",*,"2,000",D,D,,,
Science occupations                           ,"1,000","5,000",S,"3,000",*,"2,000",D,D,,,
Biological/life scientist         ,D,"2,000",D,S,D,D,D,D,,,
