Job,Salary,Population,Race
Biological/life scientist,44000,18000,Hispanic
Computer and information scientist,80000,33000,Hispanic
Mathematical scientist,60000,6000,Hispanic
Physical scientist,56000,6000,Hispanic
Psychologist,64000,25000,Hispanic
Social scientist,70000,12000,Hispanic
Biological/life scientist,56000,57000,Asian
Computer and information scientist,89000,221000,Asian
Mathematical scientist,89000,S,Asian
Physical scientist,69000,16000,Asian
Psychologist,S,13000,Asian
Social scientist,67000,19000,Asian
Biological/life scientist,65000,10000,African American
Computer and information scientist,66000,47000,African American
Mathematical scientist,82000,3000,African American
Physical scientist,63000,4000,African American
Psychologist,52000,14000,African American
Social scientist,70000,10000,African American
Biological/life scientist,62000,209000,White
Computer and information scientist,76000,388000,White
Mathematical scientist,68000,73000,White
Physical scientist,61000,64000,White
Psychologist,63000,119000,White
Social scientist,65000,120000,White
